PROVIDERID,DAYOFWEEK,SLOTSTARTTIME,SLOTENDTIME
375,6,8:20,8:40
375,6,8:40,9:00
375,6,9:00,9:20
375,6,9:20,9:40
375,6,9:40,10:00
375,6,10:00,10:20
375,6,10:20,10:40
375,6,10:40,11:00
375,6,11:00,11:20
375,6,11:20,11:40
375,6,11:40,12:00
375,6,12:00,12:20
375,6,12:20,12:40
375,6,12:40,13:00
375,6,13:00,13:20
375,6,13:20,13:40
375,6,13:40,14:00
375,6,14:00,14:20
375,6,14:20,14:40
375,6,14:40,15:00
374,2,8:00,8:15
374,2,8:15,8:30
374,2,8:30,8:45
374,2,8:45,9:00
374,2,9:00,9:15
374,2,9:15,9:30
374,2,9:30,9:45
374,2,9:45,10:00
374,2,10:00,10:15
374,2,10:15,10:30
374,2,10:30,10:45
374,2,10:45,11:00
374,2,11:00,11:15
374,2,11:15,11:30
374,2,11:30,11:45
374,2,11:45,12:00
374,2,12:00,12:15
374,2,12:15,12:30
374,2,12:30,12:45
374,2,12:45,13:00
374,2,13:00,13:15
374,2,13:15,13:30
374,2,13:30,13:45
374,2,13:45,14:00
374,2,14:00,14:15
374,2,14:15,14:30
374,2,14:30,14:45
374,2,14:45,15:00
374,2,15:00,15:15
374,2,15:15,15:30
374,2,15:30,15:45
374,2,15:45,16:00
374,3,8:00,8:15
374,3,8:15,8:30
374,3,8:30,8:45
374,3,8:45,9:00
374,3,9:00,9:15
374,3,9:15,9:30
374,3,9:30,9:45
374,3,9:45,10:00
374,3,10:00,10:15
374,3,10:15,10:30
374,3,10:30,10:45
374,3,10:45,11:00
374,3,11:00,11:15
374,3,11:15,11:30
374,3,11:30,11:45
374,3,11:45,12:00
374,3,12:00,12:15
374,3,12:15,12:30
374,3,12:30,12:45
374,3,12:45,13:00
374,3,13:00,13:15
374,3,13:15,13:30
374,3,13:30,13:45
374,3,13:45,14:00
374,3,14:00,14:15
374,3,14:15,14:30
374,3,14:30,14:45
374,3,14:45,15:00
374,3,15:00,15:15
374,3,15:15,15:30
374,3,15:30,15:45
374,3,15:45,16:00
374,5,8:00,8:15
374,5,8:15,8:30
374,5,8:30,8:45
374,5,8:45,9:00
374,5,9:00,9:15
374,5,9:15,9:30
374,5,9:30,9:45
374,5,9:45,10:00
374,5,10:00,10:15
374,5,10:15,10:30
374,5,10:30,10:45
374,5,10:45,11:00
374,5,11:00,11:15
374,5,11:15,11:30
374,5,11:30,11:45
374,5,11:45,12:00
374,5,12:00,12:15
374,5,12:15,12:30
374,5,12:30,12:45
374,5,12:45,13:00
374,5,13:00,13:15
374,5,13:15,13:30
374,5,13:30,13:45
374,5,13:45,14:00
374,5,14:00,14:15
374,5,14:15,14:30
374,5,14:30,14:45
374,5,14:45,15:00
374,5,15:00,15:15
374,5,15:15,15:30
374,5,15:30,15:45
374,5,15:45,16:00
373,2,8:00,8:15
373,2,8:15,8:30
373,2,8:30,8:45
373,2,8:45,9:00
373,2,9:00,9:15
373,2,9:15,9:30
373,2,9:30,9:45
373,2,9:45,10:00
373,2,10:00,10:15
373,2,10:15,10:30
373,2,10:30,10:45
373,2,10:45,11:00
373,2,11:00,11:15
373,2,11:15,11:30
373,2,11:30,11:45
373,2,11:45,12:00
373,2,12:00,12:15
373,2,12:15,12:30
373,2,12:30,12:45
373,2,12:45,13:00
373,2,13:00,13:15
373,2,13:15,13:30
373,2,13:30,13:45
373,2,13:45,14:00
373,2,14:00,14:15
373,2,14:15,14:30
373,2,14:30,14:45
373,2,14:45,15:00
373,2,15:00,15:15
373,2,15:15,15:30
373,2,15:30,15:45
373,2,15:45,16:00
373,3,8:00,8:15
373,3,8:15,8:30
373,3,8:30,8:45
373,3,8:45,9:00
373,3,9:00,9:15
373,3,9:15,9:30
373,3,9:30,9:45
373,3,9:45,10:00
373,3,10:00,10:15
373,3,10:15,10:30
373,3,10:30,10:45
373,3,10:45,11:00
373,3,11:00,11:15
373,3,11:15,11:30
373,3,11:30,11:45
373,3,11:45,12:00
373,3,12:00,12:15
373,3,12:15,12:30
373,3,12:30,12:45
373,3,12:45,13:00
373,3,13:00,13:15
373,3,13:15,13:30
373,3,13:30,13:45
373,3,13:45,14:00
373,3,14:00,14:15
373,3,14:15,14:30
373,3,14:30,14:45
373,3,14:45,15:00
373,3,15:00,15:15
373,3,15:15,15:30
373,3,15:30,15:45
373,3,15:45,16:00
373,5,8:00,8:15
373,5,8:15,8:30
373,5,8:30,8:45
373,5,8:45,9:00
373,5,9:00,9:15
373,5,9:15,9:30
373,5,9:30,9:45
373,5,9:45,10:00
373,5,10:00,10:15
373,5,10:15,10:30
373,5,10:30,10:45
373,5,10:45,11:00
373,5,11:00,11:15
373,5,11:15,11:30
373,5,11:30,11:45
373,5,11:45,12:00
373,5,12:00,12:15
373,5,12:15,12:30
373,5,12:30,12:45
373,5,12:45,13:00
373,5,13:00,13:15
373,5,13:15,13:30
373,5,13:30,13:45
373,5,13:45,14:00
373,5,14:00,14:15
373,5,14:15,14:30
373,5,14:30,14:45
373,5,14:45,15:00
373,5,15:00,15:15
373,5,15:15,15:30
373,5,15:30,15:45
373,5,15:45,16:00
365,2,8:00,8:15
365,2,8:15,8:30
365,2,8:30,8:45
365,2,8:45,9:00
365,2,9:00,9:15
365,2,9:15,9:30
365,2,9:30,9:45
365,2,9:45,10:00
365,2,10:00,10:15
365,2,10:15,10:30
365,2,10:30,10:45
365,2,10:45,11:00
365,2,11:00,11:15
365,2,11:15,11:30
365,2,11:30,11:45
365,2,11:45,12:00
365,2,12:00,12:15
365,2,12:15,12:30
365,2,12:30,12:45
365,2,12:45,13:00
365,2,13:00,13:15
365,2,13:15,13:30
365,2,13:30,13:45
365,2,13:45,14:00
365,2,14:00,14:15
365,2,14:15,14:30
365,2,14:30,14:45
365,2,14:45,15:00
365,2,15:00,15:15
365,2,15:15,15:30
365,2,15:30,15:45
365,2,15:45,16:00
365,2,16:00,16:15
365,2,16:15,16:30
365,2,16:30,16:45
365,2,16:45,17:00
365,2,17:00,17:15
365,2,17:15,17:30
365,2,17:30,17:45
365,2,17:45,18:00
365,2,18:00,18:15
365,2,18:15,18:30
365,2,18:30,18:45
365,2,18:45,19:00
365,2,19:00,19:15
365,2,19:15,19:30
365,2,19:30,19:45
365,2,19:45,20:00
365,2,20:00,20:15
365,2,20:15,20:30
365,2,20:30,20:45
365,2,20:45,21:00
365,2,21:00,21:15
365,2,21:15,21:30
365,3,8:00,8:15
365,3,8:15,8:30
365,3,8:30,8:45
365,3,8:45,9:00
365,3,9:00,9:15
365,3,9:15,9:30
365,3,9:30,9:45
365,3,9:45,10:00
365,3,10:00,10:15
365,3,10:15,10:30
365,3,10:30,10:45
365,3,10:45,11:00
365,3,11:00,11:15
365,3,11:15,11:30
365,3,11:30,11:45
365,3,11:45,12:00
365,3,12:00,12:15
365,3,12:15,12:30
365,3,12:30,12:45
365,3,12:45,13:00
365,3,13:00,13:15
365,3,13:15,13:30
365,3,13:30,13:45
365,3,13:45,14:00
365,4,8:00,8:15
365,4,8:15,8:30
365,4,8:30,8:45
365,4,8:45,9:00
365,4,9:00,9:15
365,4,9:15,9:30
365,4,9:30,9:45
365,4,9:45,10:00
365,4,10:00,10:15
365,4,10:15,10:30
365,4,10:30,10:45
365,4,10:45,11:00
365,5,8:00,8:15
365,5,8:15,8:30
365,5,8:30,8:45
365,5,8:45,9:00
365,5,9:00,9:15
365,5,9:15,9:30
365,5,9:30,9:45
365,5,9:45,10:00
365,5,10:00,10:15
365,5,10:15,10:30
365,5,10:30,10:45
365,5,10:45,11:00
365,5,11:00,11:15
365,5,11:15,11:30
365,5,11:30,11:45
365,5,11:45,12:00
365,5,12:00,12:15
365,5,12:15,12:30
365,5,12:30,12:45
365,5,12:45,13:00
363,2,18:00,18:15
363,2,18:15,18:30
363,2,18:30,18:45
363,2,18:45,19:00
363,2,19:00,19:15
363,2,19:15,19:30
363,2,19:30,19:45
363,2,19:45,20:00
363,2,20:00,20:15
363,2,20:15,20:30
363,2,20:30,20:45
363,3,18:00,18:15
363,3,18:15,18:30
363,3,18:30,18:45
363,3,18:45,19:00
363,3,19:00,19:15
363,3,19:15,19:30
363,3,19:30,19:45
363,3,19:45,20:00
363,3,20:00,20:15
363,4,8:30,8:45
363,4,8:45,9:00
363,4,9:00,9:15
363,4,9:15,9:30
363,4,16:00,16:15
363,4,16:15,16:30
363,4,16:30,16:45
363,4,16:45,17:00
363,4,17:00,17:15
363,4,17:15,17:30
363,4,17:30,17:45
363,4,18:00,18:15
363,4,18:15,18:30
363,4,18:30,18:45
363,4,18:45,19:00
363,4,19:00,19:15
363,4,19:15,19:30
363,4,19:30,19:45
363,4,20:00,20:15
363,5,16:00,16:15
363,5,16:15,16:30
363,5,16:30,16:45
363,5,16:45,17:00
363,5,17:00,17:15
363,5,17:15,17:30
363,5,17:30,17:45
363,5,17:45,18:00
363,5,18:00,18:15
363,5,18:15,18:30
363,5,18:30,18:45
363,5,18:45,19:00
363,5,19:00,19:15
363,5,19:15,19:30
363,5,19:30,19:45
363,5,19:45,20:00
363,5,20:00,20:15
363,6,11:00,11:15
363,6,11:15,11:30
363,6,11:30,11:45
363,6,11:45,12:00
363,6,12:00,12:15
363,6,12:15,12:30
363,6,12:30,12:45
363,6,12:45,13:00
363,6,13:00,13:15
363,6,13:15,13:30
363,6,13:30,13:45
363,6,13:45,14:00
363,6,14:00,14:15
363,6,14:15,14:30
363,6,14:30,14:45
363,6,14:45,15:00
363,6,15:00,15:15
363,6,15:15,15:30
363,6,15:30,15:45
363,6,15:45,16:00
363,6,16:00,16:15
363,6,16:15,16:30
363,6,16:30,16:45
363,6,16:45,17:00
357,3,7:00,7:15
357,3,7:15,7:30
357,3,7:30,7:45
357,3,7:45,8:00
357,3,12:00,12:15
357,3,12:15,12:30
357,3,12:30,12:45
357,3,12:45,13:00
357,3,13:00,13:15
357,3,13:15,13:30
357,3,13:30,13:45
357,3,13:45,14:00
357,3,14:00,14:15
357,3,14:15,14:30
357,4,7:00,7:15
357,4,7:15,7:30
357,4,7:30,7:45
357,4,7:45,8:00
357,4,8:00,8:15
357,4,8:15,8:30
357,4,8:30,8:45
357,4,8:45,9:00
357,4,9:00,9:15
357,4,9:15,9:30
357,4,9:30,9:45
357,4,9:45,10:00
357,4,10:00,10:15
357,4,10:15,10:30
357,4,10:30,10:45
357,4,10:45,11:00
357,4,11:00,11:15
357,4,11:15,11:30
357,4,11:30,11:45
357,4,11:45,12:00
357,4,12:00,12:15
357,4,12:15,12:30
357,4,12:30,12:45
357,4,12:45,13:00
357,4,13:00,13:15
357,4,13:15,13:30
357,4,13:30,13:45
357,4,13:45,14:00
357,4,14:00,14:15
357,4,14:15,14:30
357,4,14:30,14:45
357,4,14:45,15:00
357,4,15:00,15:15
357,4,15:15,15:30
357,4,15:30,15:45
357,4,15:45,16:00
357,4,16:00,16:15
357,5,7:00,7:15
357,5,7:15,7:30
357,5,7:30,7:45
357,5,7:45,8:00
357,5,12:00,12:15
357,5,12:15,12:30
357,5,12:30,12:45
357,5,12:45,13:00
357,5,13:00,13:15
355,2,8:00,8:20
355,2,8:20,8:40
355,2,8:40,9:00
355,2,9:00,9:20
355,2,9:20,9:40
355,2,9:40,10:00
355,2,10:00,10:20
355,2,10:20,10:40
355,2,10:40,11:00
355,2,11:00,11:20
355,2,11:20,11:40
355,2,11:40,12:00
355,2,12:00,12:20
355,2,12:20,12:40
355,2,12:40,13:00
355,2,13:00,13:20
355,2,13:20,13:40
355,2,13:40,14:00
355,3,8:00,8:20
355,3,8:20,8:40
355,3,8:40,9:00
355,3,9:00,9:20
355,3,9:20,9:40
355,3,9:40,10:00
355,3,10:00,10:20
355,3,10:20,10:40
355,3,10:40,11:00
355,3,11:00,11:20
355,3,11:20,11:40
355,3,11:40,12:00
355,3,12:00,12:20
355,3,12:20,12:40
355,3,12:40,13:00
355,3,13:00,13:20
355,3,13:20,13:40
355,3,13:40,14:00
354,2,8:00,8:20
354,2,8:20,8:40
354,2,8:40,9:00
354,2,9:00,9:20
354,2,9:20,9:40
354,2,9:40,10:00
354,2,10:00,10:20
354,2,10:20,10:40
354,2,10:40,11:00
354,2,11:00,11:20
354,2,11:20,11:40
354,2,11:40,12:00
354,2,12:00,12:20
354,2,12:20,12:40
354,2,12:40,13:00
354,2,13:00,13:20
354,2,13:20,13:40
354,2,13:40,14:00
354,3,8:00,8:20
354,3,8:20,8:40
354,3,8:40,9:00
354,3,9:00,9:20
354,3,9:20,9:40
354,3,9:40,10:00
354,3,10:00,10:20
354,3,10:20,10:40
354,3,10:40,11:00
354,3,11:00,11:20
354,3,11:20,11:40
354,3,11:40,12:00
354,3,12:00,12:20
354,3,12:20,12:40
354,3,12:40,13:00
354,3,13:00,13:20
354,3,13:20,13:40
354,3,13:40,14:00
344,6,13:00,13:15
344,6,13:15,13:30
344,6,13:30,13:45
344,6,13:45,14:00
344,6,14:00,14:15
344,6,14:15,14:30
344,6,14:30,14:45
344,6,14:45,15:00
342,6,13:00,13:15
342,6,13:15,13:30
342,6,13:30,13:45
342,6,13:45,14:00
342,6,14:00,14:15
342,6,14:15,14:30
342,6,14:30,14:45
342,6,14:45,15:00
341,2,8:00,8:20
341,2,8:20,8:40
341,2,8:40,9:00
341,2,9:00,9:20
341,2,9:20,9:40
341,2,9:40,10:00
341,2,10:00,10:20
341,2,10:20,10:40
341,2,10:40,11:00
341,2,11:00,11:20
341,2,11:20,11:40
341,2,11:40,12:00
341,2,12:00,12:20
341,2,12:20,12:40
341,2,12:40,13:00
341,2,13:00,13:20
341,2,13:20,13:40
341,2,13:40,14:00
341,2,14:00,14:20
341,2,14:20,14:40
341,2,14:40,15:00
341,2,15:00,15:20
341,2,15:20,15:40
341,2,15:40,16:00
341,2,16:00,16:20
341,2,16:20,16:40
341,2,16:40,17:00
341,2,17:00,17:20
341,2,17:20,17:40
341,2,17:40,18:00
341,3,12:00,12:20
341,3,12:20,12:40
341,3,12:40,13:00
341,3,13:00,13:20
341,3,13:20,13:40
341,3,13:40,14:00
341,3,14:00,14:20
341,3,14:20,14:40
341,3,14:40,15:00
341,3,15:00,15:20
341,3,15:20,15:40
341,3,15:40,16:00
341,3,16:00,16:20
341,3,16:20,16:40
341,3,16:40,17:00
341,3,17:00,17:20
341,3,17:20,17:40
341,3,17:40,18:00
341,3,18:00,18:20
341,3,18:20,18:40
341,3,18:40,19:00
341,3,19:00,19:20
341,3,19:20,19:40
341,3,19:40,20:00
341,3,20:00,20:20
341,3,20:20,20:40
341,3,20:40,21:00
341,3,21:00,21:20
341,3,21:20,21:40
341,3,21:40,22:00
341,4,8:00,8:20
341,4,8:20,8:40
341,4,8:40,9:00
341,4,9:00,9:20
341,4,9:20,9:40
341,4,9:40,10:00
341,4,10:00,10:20
341,4,10:20,10:40
341,4,10:40,11:00
341,4,11:00,11:20
341,4,11:20,11:40
341,4,11:40,12:00
341,4,12:00,12:20
341,4,12:20,12:40
341,4,12:40,13:00
341,4,13:00,13:20
341,4,13:20,13:40
341,4,13:40,14:00
341,4,14:00,14:20
341,4,14:20,14:40
341,4,14:40,15:00
341,4,15:00,15:20
341,4,15:20,15:40
341,4,15:40,16:00
341,4,16:00,16:20
341,4,16:20,16:40
341,4,16:40,17:00
341,4,17:00,17:20
341,4,17:20,17:40
341,4,17:40,18:00
341,5,7:00,7:20
341,5,7:20,7:40
341,5,7:40,8:00
341,5,8:00,8:20
341,5,8:20,8:40
341,5,8:40,9:00
341,5,9:00,9:20
341,5,9:20,9:40
341,5,9:40,10:00
341,5,10:00,10:20
341,5,10:20,10:40
341,5,10:40,11:00
341,5,11:00,11:20
341,5,11:20,11:40
341,5,11:40,12:00
341,5,12:00,12:20
341,5,12:20,12:40
341,5,12:40,13:00
341,5,13:00,13:20
341,5,13:20,13:40
341,5,13:40,14:00
341,5,14:00,14:20
341,5,14:20,14:40
341,5,14:40,15:00
341,5,15:00,15:20
341,5,15:20,15:40
341,5,15:40,16:00
341,5,16:00,16:20
341,5,16:20,16:40
341,5,16:40,17:00
337,2,10:00,10:20
337,2,10:20,10:40
337,2,10:40,11:00
337,2,11:00,11:20
337,2,11:20,11:40
337,2,11:40,12:00
337,2,12:00,12:20
337,2,12:20,12:40
337,2,12:40,13:00
337,2,13:00,13:20
337,2,13:20,13:40
337,2,13:40,14:00
337,2,14:00,14:20
337,2,14:20,14:40
337,2,14:40,15:00
337,3,10:00,10:20
337,3,10:20,10:40
337,3,10:40,11:00
337,3,11:00,11:20
337,3,11:20,11:40
337,3,11:40,12:00
337,3,12:00,12:20
337,3,12:20,12:40
337,3,12:40,13:00
337,3,13:00,13:20
337,3,13:20,13:40
337,3,13:40,14:00
337,3,14:00,14:20
337,3,14:20,14:40
337,3,14:40,15:00
337,4,10:00,10:20
337,4,10:20,10:40
337,4,10:40,11:00
337,4,11:00,11:20
337,4,11:20,11:40
337,4,11:40,12:00
337,4,12:00,12:20
337,4,12:20,12:40
337,4,12:40,13:00
337,4,13:00,13:20
337,4,13:20,13:40
337,4,13:40,14:00
337,4,14:00,14:20
337,4,14:20,14:40
337,4,14:40,15:00
337,5,10:00,10:20
337,5,10:20,10:40
337,5,10:40,11:00
337,5,11:00,11:20
337,5,11:20,11:40
337,5,11:40,12:00
337,5,12:00,12:20
337,5,12:20,12:40
337,5,12:40,13:00
337,5,13:00,13:20
337,5,13:20,13:40
337,5,13:40,14:00
337,5,14:00,14:20
337,5,14:20,14:40
337,5,14:40,15:00
336,2,8:00,8:15
336,2,8:15,8:30
336,2,8:30,8:45
336,2,8:45,9:00
336,2,9:00,9:15
336,2,9:15,9:30
336,2,9:30,9:45
336,2,9:45,10:00
336,2,10:00,10:15
336,2,10:15,10:30
336,2,10:30,10:45
336,2,10:45,11:00
336,2,11:00,11:15
336,2,11:15,11:30
336,2,11:30,11:45
336,2,11:45,12:00
336,2,12:00,12:15
336,2,12:15,12:30
336,2,12:30,12:45
336,2,12:45,13:00
336,2,13:00,13:15
336,2,13:15,13:30
336,2,13:30,13:45
336,2,13:45,14:00
336,2,14:00,14:15
336,2,14:15,14:30
336,2,14:30,14:45
336,2,14:45,15:00
336,2,15:00,15:15
336,2,15:15,15:30
336,2,15:30,15:45
336,2,15:45,16:00
336,2,16:00,16:15
336,2,16:15,16:30
336,2,16:30,16:45
336,2,16:45,17:00
336,3,8:00,8:15
336,3,8:15,8:30
336,3,8:30,8:45
336,3,8:45,9:00
336,3,9:00,9:15
336,3,9:15,9:30
336,3,9:30,9:45
336,3,9:45,10:00
336,3,10:00,10:15
336,3,10:15,10:30
336,3,10:30,10:45
336,3,10:45,11:00
336,3,11:00,11:15
336,3,11:15,11:30
336,3,11:30,11:45
336,3,11:45,12:00
336,3,12:00,12:15
336,3,12:15,12:30
336,3,12:30,12:45
336,3,12:45,13:00
336,3,13:00,13:15
336,3,13:15,13:30
336,3,13:30,13:45
336,3,13:45,14:00
336,3,14:00,14:15
336,3,14:15,14:30
336,3,14:30,14:45
336,3,14:45,15:00
336,3,15:00,15:15
336,3,15:15,15:30
336,3,15:30,15:45
336,3,15:45,16:00
336,3,16:00,16:15
336,3,16:15,16:30
336,3,16:30,16:45
336,3,16:45,17:00
336,4,8:00,8:15
336,4,8:15,8:30
336,4,8:30,8:45
336,4,8:45,9:00
336,4,9:00,9:15
336,4,9:15,9:30
336,4,9:30,9:45
336,4,9:45,10:00
336,4,10:00,10:15
336,4,10:15,10:30
336,4,10:30,10:45
336,4,10:45,11:00
336,4,11:00,11:15
336,4,11:15,11:30
336,4,11:30,11:45
336,4,11:45,12:00
336,4,12:00,12:15
336,4,12:15,12:30
336,4,12:30,12:45
336,4,12:45,13:00
336,4,13:00,13:15
336,4,13:15,13:30
336,4,13:30,13:45
336,4,13:45,14:00
336,4,14:00,14:15
336,4,14:15,14:30
336,4,14:30,14:45
336,4,14:45,15:00
336,4,15:00,15:15
336,4,15:15,15:30
336,4,15:30,15:45
336,4,15:45,16:00
336,4,16:00,16:15
336,4,16:15,16:30
336,4,16:30,16:45
336,4,16:45,17:00
336,5,8:00,8:15
336,5,8:15,8:30
336,5,8:30,8:45
336,5,8:45,9:00
336,5,9:00,9:15
336,5,9:15,9:30
336,5,9:30,9:45
336,5,9:45,10:00
336,5,10:00,10:15
336,5,10:15,10:30
336,5,10:30,10:45
336,5,10:45,11:00
336,5,11:00,11:15
336,5,11:15,11:30
336,5,11:30,11:45
336,5,11:45,12:00
336,5,12:00,12:15
336,5,12:15,12:30
336,5,12:30,12:45
336,5,12:45,13:00
336,5,13:00,13:15
336,5,13:15,13:30
336,5,13:30,13:45
336,5,13:45,14:00
336,5,14:00,14:15
336,5,14:15,14:30
336,5,14:30,14:45
336,5,14:45,15:00
336,5,15:00,15:15
336,5,15:15,15:30
336,5,15:30,15:45
336,5,15:45,16:00
336,5,16:00,16:15
336,5,16:15,16:30
336,5,16:30,16:45
336,5,16:45,17:00
336,6,8:00,8:15
336,6,8:15,8:30
336,6,8:30,8:45
336,6,8:45,9:00
336,6,9:00,9:15
336,6,9:15,9:30
336,6,9:30,9:45
336,6,9:45,10:00
336,6,10:00,10:15
336,6,10:15,10:30
336,6,10:30,10:45
336,6,10:45,11:00
336,6,11:00,11:15
336,6,11:15,11:30
336,6,11:30,11:45
336,6,11:45,12:00
336,6,12:00,12:15
336,6,12:15,12:30
336,6,12:30,12:45
336,6,12:45,13:00
336,6,13:00,13:15
336,6,13:15,13:30
336,6,13:30,13:45
336,6,13:45,14:00
336,6,14:00,14:15
336,6,14:15,14:30
336,6,14:30,14:45
336,6,14:45,15:00
336,6,15:00,15:15
336,6,15:15,15:30
336,6,15:30,15:45
336,6,15:45,16:00
336,6,16:00,16:15
336,6,16:15,16:30
336,6,16:30,16:45
336,6,16:45,17:00
329,2,16:00,16:20
329,2,16:20,16:40
329,2,16:40,17:00
329,3,16:30,17:00
329,3,17:00,17:20
329,3,17:20,17:40
329,3,17:40,18:00
329,3,18:00,18:20
329,3,18:20,18:40
329,3,18:40,19:00
329,3,19:00,19:20
329,3,19:20,19:40
329,3,19:40,20:00
329,4,16:30,17:00
329,4,17:00,17:20
329,4,17:20,17:40
329,4,17:40,18:00
329,4,18:00,18:20
329,4,18:20,18:40
329,4,18:40,19:00
